Población	Casos Ob.	Casos Esp.	IME*	
Ciudad Aut. de Buenos Aires	179	758,1041	23,6115	
Buenos Aires	2214	3.296,8423	67,1552	
Catamarca	85	68,3512	124,3578	
Córdoba	848	729,6337	116,2227	
Corrientes	255	179,0334	142,4315	
Chaco	379	169,6259	223,4329	
Chubut	98	97,1792	100,8446	
Entre Ríos	275	258,8954	106,2205	
Formosa	297	91,2912	325,3324	
Jujuy	139	116,8095	118,9972	
La Pampa	50	72,8458	68,6381	
La Rioja	66	60,1323	109,7580	
Mendoza	603	368,3473	163,7042	
Misiones	494	172,3371	286,6476	
Neuquén	219	103,9038	210,7719	
Río Negro	188	130,6405	143,9064	
Salta	303	201,9439	150,0417	
San Juan	233	130,4010	178,6796	
San Luis	126	90,0957	139,8513	
Santa Cruz	96	44,3574	216,4238	
Santa Fe	540	706,0371	76,4832	
Santiago del Estero	225	144,8949	155,2850	
Tucumán	337	268,0438	125,7257	
Tierra del Fuego	32	21,2536	150,5629	
