Población	Casos Ob.	Casos Esp.	IME*	
Ciudad Aut. de Buenos Aires	179	512,7253	34,9115	
Buenos Aires	2214	2.214,0000	100,0000	
Catamarca	85	45,7464	185,8070	
Córdoba	848	490,4690	172,8957	
Corrientes	255	119,8450	212,7747	
Chaco	379	113,1748	334,8802	
Chubut	98	64,8541	151,1085	
Entre Ríos	275	173,8822	158,1530	
Formosa	297	61,0394	486,5713	
Jujuy	139	78,0647	178,0575	
La Pampa	50	49,0059	102,0286	
La Rioja	66	40,1577	164,3520	
Mendoza	603	247,5413	243,5957	
Misiones	494	114,9346	429,8097	
Neuquén	219	69,3040	315,9990	
Río Negro	188	87,4625	214,9493	
Salta	303	134,9727	224,4898	
San Juan	233	87,3599	266,7126	
San Luis	126	60,3831	208,6676	
Santa Cruz	96	29,3643	326,9277	
Santa Fe	540	474,9914	113,6863	
Santiago del Estero	225	96,9355	232,1132	
Tucumán	337	179,3001	187,9530	
Tierra del Fuego	32	13,9967	228,6250	
