Población	Tasa bruta	Tasa ajustada	IC (95,0%)	
Ciudad Aut. de Buenos Aires	7,8113	5,9136	5,0707	6,8877	
Buenos Aires	17,8418	17,3652	16,6671	18,1112	
Catamarca	29,2772	31,7650	25,3516	39,3379	
Córdoba	31,2167	29,9838	27,9975	32,0600	
Corrientes	33,4570	36,9036	32,5175	41,7309	
Chaco	47,0495	55,9621	50,4055	61,9624	
Chubut	22,1909	26,4329	21,3918	32,2909	
Entre Ríos	28,0252	27,4301	24,2701	30,8768	
Formosa	74,1625	83,2292	73,9744	93,3587	
Jujuy	26,2679	30,2132	25,3883	35,7228	
La Pampa	19,3676	17,9080	13,3083	23,7081	
La Rioja	23,5025	27,1025	20,9324	34,6443	
Mendoza	43,1882	42,1598	38,8845	45,6801	
Misiones	59,3472	73,4278	67,0112	80,3083	
Neuquén	47,0906	56,1741	48,9226	64,2693	
Río Negro	35,1909	38,1293	32,8421	44,0222	
Salta	32,0842	38,4442	34,1944	43,0678	
San Juan	43,2140	47,2472	41,3798	53,7744	
San Luis	34,7079	36,3199	30,2509	43,2742	
Santa Cruz	37,2836	60,3805	48,5010	74,4346	
Santa Fe	21,0613	19,7768	18,1330	21,5108	
Santiago del Estero	34,2027	39,4358	34,4211	44,9586	
Tucumán	28,8599	32,6211	29,2390	36,3447	
Tierra del Fuego	25,1794	44,9952	29,8222	66,2411	
